Designator,Mid X,Mid Y,Rotation,Layer
C1,163.0,-39.9,180.0,top
C10,162.2,-35.425,270.0,top
C11,159.11,-46.31,180.0,top
C12,176.275256,-48.591826,0.0,top
C13,159.27,-52.44,270.0,top
C14,167.125,-100.0,180.0,top
C15,170.61,-57.48,0.0,top
C16,173.55,-66.6,0.0,top
C17,182.075257,-42.645,90.0,top
C18,177.946699,-83.966462,0.0,top
C19,188.575,-43.7,0.0,top
C2,176.035256,-54.421826,270.0,top
C20,197.760257,-30.49,180.0,top
C21,154.67,-136.701,270.0,top
C22,204.110257,-30.515,0.0,top
C24,197.125,-149.1,180.0,top
C26,172.704,-120.305,225.0,top
C27,166.8,-130.4,225.0,top
C28,187.655001,-130.354939,90.0,top
C29,222.65,-30.925,90.0,top
C3,175.025,-42.7,0.0,top
C30,216.8,-33.05,0.0,top
C31,193.5,-81.925,180.0,top
C32,193.56375,-78.94,180.0,top
C33,154.475,-123.8,270.0,top
C34,186.005257,-77.135397,0.0,top
C35,189.875,-91.2,180.0,top
C36,186.010257,-78.695397,0.0,top
C37,200.825,-74.125,0.0,top
C38,199.7,-78.075,90.0,top
C39,216.8,-31.45,0.0,top
C4,172.4,-40.0,90.0,top
C40,214.45,-30.1,270.0,top
C41,212.75,-26.975,90.0,top
C42,214.45,-26.975,90.0,top
C43,189.2,-60.225,270.0,top
C44,195.6,-58.325,90.0,top
C45,152.8,-50.23,90.0,top
C46,188.3,-101.625,270.0,top
C47,154.5,-94.7,180.0,top
C49,163.8,-72.85,0.0,top
C5,166.500257,-58.33,180.0,top
C50,148.44,-50.1,90.0,top
C51,168.175,-74.4,0.0,top
C52,165.9,-80.2,270.0,top
C53,160.425,-71.1,0.0,top
C54,163.15,-80.175,270.0,top
C59,187.790257,-50.43,270.0,top
C6,174.385256,-54.431826,270.0,top
C60,190.220257,-48.775,270.0,top
C61,194.630257,-48.36,90.0,top
C65,176.565256,-44.341826,0.0,top
C66,176.245256,-51.911826,0.0,top
C7,175.215256,-34.449493,0.0,top
C8,175.265256,-36.499493,0.0,top
C9,163.8,-35.425,270.0,top
D1,182.965001,-115.837439,270.0,top
D10,199.4,-107.8375,270.0,top
D11,159.0875,-38.1,180.0,top
D12,195.4,-107.8375,270.0,top
D13,167.5,-34.0,180.0,top
D14,169.75,-34.0,0.0,top
D15,182.975,-50.4125,90.0,top
D16,220.3,-26.2,0.0,top
D17,187.2,-66.1,0.0,top
D18,191.4,-107.8375,270.0,top
D19,149.85,-117.0375,90.0,top
D2,184.695001,-115.837439,270.0,top
D20,149.8,-123.0125,90.0,top
D21,149.85,-111.4125,90.0,top
D22,149.6,-139.5875,90.0,top
D23,147.025,-139.5875,90.0,top
D24,144.55,-139.5625,90.0,top
D25,141.975,-139.5625,90.0,top
D26,167.7125,-95.525,0.0,top
D3,186.415001,-115.837439,270.0,top
D4,190.1,-115.80125,270.0,top
D5,191.82,-115.8,270.0,top
D6,196.66,-115.7675,270.0,top
D7,200.957757,-30.62,0.0,top
D8,198.31,-115.7725,270.0,top
D9,199.98,-115.7675,270.0,top
IC10,182.650257,-77.885397,270.0,top
IC13,186.400257,-46.97,180.0,top
IC2,196.77875,-75.79,0.0,top
IC3,196.79875,-80.365,0.0,top
J3,197.088,-88.301,90.0,top
J47,185.81,-34.79,180.0,top
J6,196.925,-140.795,90.0,top
J7,169.01,-139.585001,0.0,top
J73,202.63,-80.48,0.0,top
J8,168.62,-27.675,180.0,top
J9,204.025,-59.89,180.0,top
L1,172.765256,-35.436993,270.0,top
L2,165.6,-35.6625,270.0,top
L3,227.1735,-29.3,0.0,top
R1,200.1,-146.2,90.0,top
R10,146.110257,-125.25,180.0,top
R100,234.68,-99.794,90.0,top
R101,236.331,-116.177,90.0,top
R102,234.68,-116.177,90.0,top
R103,236.204,-132.624,90.0,top
R104,234.553,-132.624,90.0,top
R105,236.331,-83.221,90.0,top
R106,234.68,-83.221,90.0,top
R107,236.331,-66.838,90.0,top
R108,234.68,-66.838,90.0,top
R109,236.331,-50.328,90.0,top
R11,146.260257,-119.73,180.0,top
R110,234.68,-50.328,90.0,top
R111,164.05,-95.5,0.0,top
R112,151.75,-133.375,270.0,top
R113,151.725,-130.1,270.0,top
R114,151.725,-127.0,270.0,top
R115,151.725,-123.875,270.0,top
R116,139.975,-134.025,270.0,top
R117,139.975,-128.35,90.0,top
R12,164.015,-101.61,180.0,top
R13,164.025,-100.0,180.0,top
R14,186.110257,-94.31,270.0,top
R15,199.327757,-28.55,180.0,top
R16,146.190257,-114.1,180.0,top
R17,182.955001,-118.894939,90.0,top
R18,184.635001,-118.894939,90.0,top
R19,186.385001,-118.894939,90.0,top
R2,170.7,-38.0,270.0,top
R20,190.07,-118.85875,90.0,top
R21,191.79,-118.8575,90.0,top
R22,196.67,-118.82,90.0,top
R23,198.31,-118.83,90.0,top
R24,152.819743,-62.577041,0.0,top
R25,184.769,-73.2,180.0,top
R26,193.2,-95.075,270.0,top
R27,199.97,-118.8275,90.0,top
R28,197.4,-107.875,270.0,top
R29,193.4,-107.875,270.0,top
R3,163.0,-38.2,0.0,top
R30,196.6,-110.4,180.0,top
R31,118.5,-52.025,270.0,top
R32,118.5,-68.4,270.0,top
R33,118.5,-85.1,270.0,top
R34,118.5,-101.575,270.0,top
R35,118.45,-118.0,270.0,top
R36,118.5,-134.425,270.0,top
R37,232.9,-132.624,90.0,top
R38,233.0,-116.175,90.0,top
R39,233.029,-99.75,90.0,top
R4,165.716637,-129.283363,45.0,top
R40,233.029,-83.221,90.0,top
R41,233.029,-66.838,90.0,top
R42,233.05,-50.328,90.0,top
R43,159.305,-28.992,180.0,top
R44,159.305,-30.642,180.0,top
R45,197.060257,-33.14,90.0,top
R46,203.135257,-33.15,90.0,top
R47,204.885257,-33.15,90.0,top
R48,159.305,-27.342,180.0,top
R49,221.875,-33.3,180.0,top
R5,192.741637,-147.758363,225.0,top
R50,221.1,-30.925,90.0,top
R51,211.15,-30.125,270.0,top
R52,212.75,-30.125,270.0,top
R53,187.5,-60.275,90.0,top
R54,184.6,-50.425,270.0,top
R55,223.875,-25.15,0.0,top
R56,186.2,-50.425,270.0,top
R57,183.825257,-42.695,270.0,top
R58,185.575257,-42.695,270.0,top
R59,188.560257,-41.81,180.0,top
R6,160.441699,-66.746462,180.0,top
R60,185.940257,-40.23,0.0,top
R61,195.6,-62.875,270.0,top
R62,213.8,-54.075,90.0,top
R63,159.1,-39.8,0.0,top
R64,159.125,-34.7,180.0,top
R65,159.125,-36.4,0.0,top
R66,187.075,-63.9,0.0,top
R67,213.8,-57.175,90.0,top
R68,213.8,-60.3,90.0,top
R69,200.1,-70.7,270.0,top
R7,173.55,-69.9,0.0,top
R70,166.716637,-132.683363,45.0,top
R71,170.425,-130.45,90.0,top
R72,188.3,-98.175,90.0,top
R74,176.006,-96.048,270.0,top
R75,182.8,-95.4,0.0,top
R77,156.15,-123.8,90.0,top
R78,189.4,-107.875,270.0,top
R79,157.825,-123.8,90.0,top
R8,160.425,-69.5,180.0,top
R80,115.173,-52.043,270.0,top
R81,116.824,-52.042,270.0,top
R82,162.862,-120.813,0.0,top
R83,162.862,-122.591,0.0,top
R84,148.034743,-62.737041,0.0,top
R85,115.173,-68.426,270.0,top
R86,116.824,-68.425,270.0,top
R87,115.173,-85.06,270.0,top
R88,116.824,-85.062,270.0,top
R89,114.919,-134.465,270.0,top
R9,173.551699,-68.266462,0.0,top
R90,116.697,-134.465,270.0,top
R91,115.173,-117.955,270.0,top
R92,116.824,-117.956,270.0,top
R93,115.173,-101.573,270.0,top
R94,116.824,-101.573,270.0,top
R95,159.45,-123.8,90.0,top
R96,155.31,-60.093302,90.0,top
R97,195.818,-84.809,270.0,top
R98,198.358,-84.809,270.0,top
R99,236.331,-99.794,90.0,top
RV1,206.54,-69.9,180.0,top
SW1,202.7,-108.5,90.0,top
SW2,139.8,-29.9,180.0,top
SW4,144.95,-122.71,180.0,top
SW5,182.180257,-92.58,180.0,top
SW6,144.960257,-117.08,180.0,top
SW7,144.920257,-111.39,180.0,top
TP10,245.2,-148.1,90.0,top
TP11,177.0,-61.8,0.0,top
TP12,177.2,-131.3,315.0,top
TP13,211.0,-88.5,90.0,top
TP14,142.0,-92.0,90.0,top
TP7,114.0,-37.4,0.0,top
TP8,241.1,-36.6,270.0,top
TP9,105.9,-148.1,270.0,top
U1,168.015257,-48.4925,180.0,top
U10,169.430257,-124.1975,180.0,top
U11,156.825,-129.6,0.0,top
U12,189.725,-94.205,270.0,top
U14,152.67,-58.503302,90.0,top
U15,186.126763,-99.816506,180.0,top
U16,149.640257,-128.9,180.0,top
U17,190.625001,-125.305,90.0,top
U18,198.075001,-130.575,0.0,top
U19,198.045001,-123.2275,0.0,top
U2,166.815257,-68.815397,270.0,top
U20,198.115001,-126.795,0.0,top
U21,156.955,-100.725,0.0,top
U22,193.025,-101.005,90.0,top
U24,157.65,-73.45,0.0,top
U25,164.95,-76.1,270.0,top
U26,161.7,-76.1,270.0,top
U28,148.44,-58.493302,90.0,top
U3,200.035257,-33.34,180.0,top
U4,217.925,-28.86,0.0,top
U5,192.5625,-60.15,180.0,top
U6,168.54,-104.37,0.0,top
U7,157.030257,-141.0,0.0,top
U8,178.060257,-86.61117,0.0,top
U9,159.0,-42.350001,270.0,top
X1,196.7,-146.2,180.0,top
Y1,175.1,-39.7,270.0,top
Y2,168.580256,-117.8775,315.0,top
